,Fecha,Costo_Directo,Costo_Indirecto,Peso_Promedio,Incremento,Incremento semanal(promedio),Sobrevivencia,Biomasa,Biomasa_Hectarea,Balanceado,Balanceado hectárea,Balanceado_Costo,Conversión_alimenticia,Comentario,FCA
0,2023-06-30,1214.19,2009.55,1.96,,,98.5,4596.74,510.75,0.0,0.0,0.0,,,
1,2023-07-01,181.75,455.7700000000001,1.96,0.0,,98.5,4596.74,510.75,220.0,24.44,152.41,,nicovita kr1 ,
2,2023-07-02,181.75,176.47,1.96,0.0,2.24,98.5,4596.74,510.75,220.0,24.44,152.41,0.1,nicovita kr1 ,112.24489795918367
3,2023-07-03,239.66,277.45,2.368,0.4079999999999999,,97.2,5429.802,603.312,386.0,42.78,230.83,,"nicovita  finalis 2.0 , nicovita kr1 ",163.00675675675677
4,2023-07-05,271.52,2062.149999999999,2.776,0.4079999999999999,,95.9,6262.864,695.874,386.0,42.78,230.83,,"nicovita  finalis 2.0 , nicovita kr1 ",139.04899135446686
5,2023-07-06,229.15,219.91000000000005,3.184,0.40800000000000036,,94.6,7095.9259999999995,788.4359999999999,440.0,48.89,222.81,,nicovita  finalis 2.0 ,138.19095477386935
6,2023-07-08,229.15,178.27,3.592,0.4079999999999999,,93.3,7928.987999999999,880.9979999999999,440.0,48.89,222.81,,nicovita  finalis 2.0 ,122.49443207126949
7,2023-07-09,352.15,176.47,4.0,0.4079999999999999,2.1,92.0,8762.05,973.56,440.0,48.89,222.81,0.29,nicovita  finalis 2.0 ,110.0
8,2023-07-10,286.43,951.91,4.442857142857143,0.44285714285714306,,92.0,9732.134285714284,1081.347142857143,550.0,61.11,278.52,,nicovita  finalis 2.0 ,123.7942122186495
9,2023-07-11,271.16,318.25999999999993,4.885714285714285,0.44285714285714217,,92.0,10702.218571428572,1189.1342857142856,0.0,0.0,0.0,,,0.0
10,2023-07-12,286.43,1156.75,5.328571428571428,0.44285714285714306,,92.0,11672.302857142857,1296.9214285714286,550.0,61.11,278.52,,nicovita  finalis 2.0 ,103.2171581769437
11,2023-07-13,362.07,191.37000000000006,5.771428571428571,0.44285714285714306,,92.0,12642.387142857142,1404.7085714285713,715.0,79.44,362.07,,nicovita  finalis 2.0 ,123.88613861386139
12,2023-07-14,362.07,882.9699999999999,6.2142857142857135,0.44285714285714217,,92.0,13612.471428571429,1512.4957142857143,715.0,79.44,362.07,,nicovita  finalis 2.0 ,115.05747126436783
13,2023-07-15,362.07,783.8299999999997,6.657142857142857,0.44285714285714306,,92.0,14582.555714285714,1620.2828571428572,715.0,79.44,362.07,,nicovita  finalis 2.0 ,107.40343347639485
14,2023-07-16,362.07,173.7100000000001,7.1,0.44285714285714306,2.51,92.0,15552.64,1728.07,715.0,79.44,362.07,0.42,nicovita  finalis 2.0 ,100.70422535211269
15,2023-07-17,410.17,1080.1499999999994,7.6,0.5,,92.28571428571429,16720.007142857143,1857.7771428571427,825.0,91.67,410.17,,nicovita  finalis 2.5 ,108.55263157894737
16,2023-07-18,410.17,241.85999999999993,8.1,0.5,,92.57142857142857,17887.374285714286,1987.4842857142858,825.0,91.67,410.17,,nicovita  finalis 2.5 ,101.85185185185186
17,2023-07-19,445.07,1458.74,8.6,0.5,,92.85714285714286,19054.74142857143,2117.1914285714283,825.0,91.67,410.17,,nicovita  finalis 2.5 ,95.93023255813954
18,2023-07-20,464.86,335.0100000000001,9.1,0.5,,93.14285714285714,20222.108571428573,2246.8985714285714,935.0,103.89,464.86,,nicovita  finalis 2.5 ,102.74725274725274
19,2023-07-21,464.86,266.84000000000003,9.6,0.5,,93.42857142857143,21389.475714285712,2376.6057142857144,935.0,103.89,464.86,,nicovita  finalis 2.5 ,97.39583333333334
20,2023-07-22,464.86,189.64999999999998,10.1,0.5,,93.71428571428571,22556.842857142856,2506.312857142857,935.0,103.89,464.86,,nicovita  finalis 2.5 ,92.57425742574257
21,2023-07-23,464.86,198.73999999999992,10.6,0.5,2.8,94.0,23724.21,2636.02,935.0,103.89,464.86,0.54,nicovita  finalis 2.5 ,88.20754716981132
22,2023-07-24,492.2,437.4,10.933333333333334,0.3333333333333339,,93.66666666666667,24370.251666666667,2707.8033333333333,990.0,110.0,492.2,,nicovita  finalis 2.5 ,90.54878048780488
23,2023-07-25,410.17,268.5799999999999,11.266666666666666,0.33333333333333215,,93.33333333333333,25016.29333333333,2779.5866666666666,825.0,91.67,410.17,,nicovita  finalis 2.5 ,73.22485207100593
24,2023-07-26,519.55,198.73999999999992,11.6,0.3333333333333339,,93.0,25662.335,2851.37,1045.0,116.11,519.55,,nicovita  finalis 2.5 ,90.08620689655173
25,2023-07-27,492.2,370.94,11.933333333333334,0.3333333333333339,,92.66666666666667,26308.376666666667,2923.153333333333,990.0,110.0,492.2,,nicovita  finalis 2.5 ,82.9608938547486
26,2023-07-29,355.48,807.3200000000002,12.266666666666666,0.33333333333333215,,92.33333333333333,26954.41833333333,2994.9366666666665,715.0,79.44,355.48,,nicovita  finalis 2.5 ,58.288043478260875
27,2023-07-30,492.2,1439.54,12.6,0.3333333333333339,2.62,92.0,27600.46,3066.72,990.0,110.0,492.2,0.66,nicovita  finalis 2.5 ,78.57142857142857
28,2023-07-31,109.38,2764.7099999999996,12.821428571428571,0.22142857142857153,,92.0,28085.502857142856,3120.612857142857,220.0,24.44,109.38,,nicovita  finalis 2.5 ,17.158774373259053
29,2023-08-01,564.21,296.8399999999999,13.042857142857143,0.22142857142857153,,92.0,28570.545714285712,3174.505714285714,990.0,110.0,461.99,,nicovita  qualis  2.0 ,75.90361445783132
30,2023-08-02,461.99,336.9,13.264285714285714,0.22142857142857153,,92.0,29055.58857142857,3228.3985714285714,990.0,110.0,461.99,,nicovita  qualis  2.0 ,74.63651050080776
31,2023-08-03,538.99,181.19999999999993,13.485714285714286,0.22142857142857153,,92.0,29540.63142857143,3282.2914285714282,1155.0,128.33,538.99,,nicovita  qualis  2.0 ,85.64618644067797
32,2023-08-04,538.99,239.77999999999997,13.707142857142857,0.22142857142857153,,92.0,30025.674285714285,3336.1842857142856,1155.0,128.33,538.99,,nicovita  qualis  2.0 ,84.26263678999479
33,2023-08-05,,,13.928571428571429,0.22142857142857153,,92.0,30510.717142857142,3390.0771428571425,,,,,,
34,2023-08-06,461.99,196.75000000000003,14.15,0.22142857142857153,2.42,92.0,30995.76,3443.97,990.0,110.0,461.99,0.77,nicovita  qualis  2.0 ,69.96466431095406
35,2023-08-07,513.32,283.57000000000005,14.5,0.34999999999999964,,91.64285714285714,31621.28,3513.472857142857,1100.0,122.22,513.32,,nicovita  qualis  2.0 ,75.86206896551724
36,2023-08-08,513.32,514.09,14.850000000000001,0.3500000000000014,,91.28571428571429,32246.8,3582.9757142857143,1100.0,122.22,513.32,,nicovita  qualis  2.0 ,74.07407407407406
37,2023-08-09,513.32,268.60999999999996,15.200000000000001,0.34999999999999964,,90.92857142857143,32872.32,3652.4785714285713,1100.0,122.22,513.32,,nicovita  qualis  2.0 ,72.36842105263158
38,2023-08-10,513.32,937.0400000000003,15.55,0.34999999999999964,,90.57142857142857,33497.84,3721.9814285714283,1100.0,122.22,513.32,,nicovita  qualis  2.0 ,70.73954983922829
39,2023-08-11,513.32,215.91000000000005,15.9,0.34999999999999964,,90.21428571428571,34123.36,3791.4842857142853,1100.0,122.22,513.32,,nicovita  qualis  2.0 ,69.18238993710692
40,2023-08-12,513.32,196.75000000000003,16.25,0.34999999999999964,,89.85714285714286,34748.880000000005,3860.9871428571428,1100.0,122.22,513.32,,nicovita  qualis  2.0 ,67.6923076923077
41,2023-08-13,513.32,188.85000000000002,16.6,0.3500000000000014,2.43,89.5,35374.4,3930.49,1100.0,122.22,513.32,0.89,nicovita  qualis  2.0 ,66.26506024096385
42,2023-08-14,,,16.6,0.0,,89.5,35374.4,3930.49,,,,,,
43,2023-08-15,410.66,177.42999999999998,16.6,0.0,,89.5,35374.4,3930.49,880.0,97.78,410.66,,nicovita  qualis  2.0 ,53.01204819277108
