,Fecha,Costo_Directo,Costo_Indirecto,Peso_Promedio,Incremento,Incremento semanal(promedio),Sobrevivencia,Biomasa,Biomasa_Hectarea,Balanceado,Balanceado hectárea,Balanceado_Costo,Conversión_alimenticia,Comentario,FCA
0,2023-06-29,0.00,120.43,4.6,,,100.00,7301.71011744000000000000000,1216.95,0.0,0.00,0.00,,,
1,2023-06-30,1038.26,669.84,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,165.0,27.50,114.30,,,
2,2023-07-01,136.49,151.93,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,165.0,27.50,114.30,,,
3,2023-07-02,136.49,58.83,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,165.0,27.50,114.30,,,
4,2023-07-03,114.58,92.49,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,220.0,36.67,111.41,,,
5,2023-07-04,114.58,344.67,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,220.0,36.67,111.41,,,
6,2023-07-05,147.38,696.26,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,220.0,36.67,111.41,,,
7,2023-07-06,143.23,73.31,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,275.0,45.83,139.26,,,
8,2023-07-07,143.23,110.03,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,275.0,45.83,139.26,,,
9,2023-07-08,143.23,59.43,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,275.0,45.83,139.26,,,
10,2023-07-09,351.23,58.83,4.6,0.0,,100.00,7301.71011744000000000000000,1216.95,275.0,45.83,139.26,0.31,,59.78260869565218
11,2023-07-10,234.86,317.31,4.962857142857143,0.362857142857143,,92.00,10426.84204770432000000000000,1737.81,330.0,55.00,167.11,,,66.49395509499136
12,2023-07-11,106.12,116.12,5.325714285714286,0.362857142857143,,92.00,10426.84204770432000000000000,1737.81,0.0,0,0.00,,,0.0
13,2023-07-12,171.86,385.59,5.688571428571429,0.362857142857143,,92.00,10426.84204770432000000000000,1737.81,330.0,55.00,167.11,,,58.011049723756905
14,2023-07-13,222.81,63.79,6.051428571428572,0.362857142857143,,92.00,10426.84204770432000000000000,1737.81,440.0,73.33,222.81,,,72.71010387157696
15,2023-07-14,222.81,294.32,6.414285714285715,0.362857142857143,,92.00,10426.84204770432000000000000,1737.81,440.0,73.33,222.81,,,68.59688195991092
16,2023-07-15,222.81,261.28,6.777142857142857,0.3628571428571421,,92.00,10426.84204770432000000000000,1737.81,440.0,73.33,222.81,,,64.92411467116358
17,2023-07-16,222.81,57.90,7.14,0.362857142857143,2.54,92.00,10426.84204770432000000000000,1737.81,440.0,73.33,222.81,0.45,,61.62464985994398
18,2023-07-17,381.24,360.05,7.505714285714285,0.36571428571428566,,94.00,14473.25931539520000000000000,2412.21,495.0,82.50,246.10,,,65.94975256947089
19,2023-07-18,246.10,80.61,7.871428571428571,0.36571428571428566,,94.00,14473.25931539520000000000000,2412.21,495.0,82.50,246.10,,,62.885662431941924
20,2023-07-19,246.10,486.24,8.237142857142857,0.36571428571428566,,94.00,14473.25931539520000000000000,2412.21,495.0,82.50,246.10,,,60.09365244536941
21,2023-07-20,273.45,111.67,8.602857142857143,0.36571428571428655,,94.00,14473.25931539520000000000000,2412.21,550.0,91.67,273.45,,,63.93224842245101
22,2023-07-21,273.45,88.95,8.968571428571428,0.36571428571428477,,94.00,14473.25931539520000000000000,2412.21,550.0,91.67,273.45,,,61.32526282255496
23,2023-07-22,273.45,63.20,9.334285714285713,0.36571428571428477,,94.00,14473.25931539520000000000000,2412.21,550.0,91.67,273.45,,,58.922558922558935
24,2023-07-23,273.45,66.24,9.7,0.36571428571428655,2.5599999999999996,94.00,14473.25931539520000000000000,2412.21,550.0,91.67,273.45,0.58,,56.701030927835056
25,2023-07-24,300.79,145.79,10.128571428571428,0.4285714285714288,,92.00,18546.34369829760000000000000,3091.06,605.0,100.83,300.79,,,59.73201692524683
26,2023-07-25,300.79,89.52,10.557142857142857,0.4285714285714288,,92.00,18546.34369829760000000000000,3091.06,605.0,100.83,300.79,,,57.307171853856566
27,2023-07-26,300.79,66.24,10.985714285714284,0.42857142857142705,,92.00,18546.34369829760000000000000,3091.06,605.0,100.83,300.79,,,55.07152145643694
28,2023-07-27,328.14,123.65,11.414285714285713,0.4285714285714288,,92.00,18546.34369829760000000000000,3091.06,660.0,110.00,328.14,,,57.822277847309145
